,State,County,Water
677,IL,Saline County,1.1257387149503333
678,IL,Sangamon County,1.1029124215292785
679,IL,Schuyler County,1.197667523225934
680,IL,Scott County,1.349895031490553
681,IL,Shelby County,1.0949307005885704
682,IL,Stark County,1.7849293563579278
683,IL,Stephenson County,1.6514657980456025
684,IL,Tazewell County,1.0829806655049374
685,IL,Union County,1.1032204789430222
686,IL,Vermilion County,1.255819902788437
687,IL,Wabash County,1.1904036557501905
688,IL,Warren County,1.6075334143377886
689,IL,Washington County,1.4284490145672666
690,IL,Wayne County,1.374251497005988
691,IL,White County,1.1235330450895615
692,IL,Whiteside County,1.0753182194772914
693,IL,Will County,1.0752219046186249
694,IL,Williamson County,1.0397187909600032
